# Renewables.ninja Heating & cooling demand (Point API) - 53.471, 13.218 - Version: 1.0 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1038/s41560-023-01341-5
# Units: time in UTC, local_time in Europe/Berlin, total_demand in unknown, heating_demand in unknown, cooling_demand in unknown
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "total_demand": "unknown", "heating_demand": "unknown", "cooling_demand": "unknown"}, "params": {"local_time": true, "header": true, "lat": "53.47050918780863", "lon": "13.217977614341574", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "heating_threshold": "14", "cooling_threshold": "20", "base_power": "0", "heating_power": "0.3", "cooling_power": "0.15", "smoothing": "0.5", "solar_gains": "0.012", "wind_chill": "-0.2", "humidity_discomfort": "0.05", "use_diurnal_profile": true}}
time,local_time,total_demand,heating_demand,cooling_demand
2019-01-01 00:00,2019-01-01 01:00,2.257,2.257,0
2019-01-01 01:00,2019-01-01 02:00,2.300,2.300,0
2019-01-01 02:00,2019-01-01 03:00,2.317,2.317,0
2019-01-01 03:00,2019-01-01 04:00,2.317,2.317,0
2019-01-01 04:00,2019-01-01 05:00,2.330,2.330,0
2019-01-01 05:00,2019-01-01 06:00,2.391,2.391,0
2019-01-01 06:00,2019-01-01 07:00,2.506,2.506,0
2019-01-01 07:00,2019-01-01 08:00,2.585,2.585,0
2019-01-01 08:00,2019-01-01 09:00,2.612,2.612,0
2019-01-01 09:00,2019-01-01 10:00,2.578,2.578,0
2019-01-01 10:00,2019-01-01 11:00,2.503,2.503,0
2019-01-01 11:00,2019-01-01 12:00,2.431,2.431,0
2019-01-01 12:00,2019-01-01 13:00,2.357,2.357,0
2019-01-01 13:00,2019-01-01 14:00,2.278,2.278,0
2019-01-01 14:00,2019-01-01 15:00,2.226,2.226,0
2019-01-01 15:00,2019-01-01 16:00,2.239,2.239,0
2019-01-01 16:00,2019-01-01 17:00,2.368,2.368,0
2019-01-01 17:00,2019-01-01 18:00,2.593,2.593,0
2019-01-01 18:00,2019-01-01 19:00,2.655,2.655,0
2019-01-01 19:00,2019-01-01 20:00,2.542,2.542,0
2019-01-01 20:00,2019-01-01 21:00,2.469,2.469,0
2019-01-01 21:00,2019-01-01 22:00,2.531,2.531,0
2019-01-01 22:00,2019-01-01 23:00,2.602,2.602,0
2019-01-01 23:00,2019-01-02 00:00,2.620,2.620,0
2019-01-02 00:00,2019-01-02 01:00,2.713,2.713,0
2019-01-02 01:00,2019-01-02 02:00,2.782,2.782,0
2019-01-02 02:00,2019-01-02 03:00,2.818,2.818,0
2019-01-02 03:00,2019-01-02 04:00,2.831,2.831,0
2019-01-02 04:00,2019-01-02 05:00,2.860,2.860,0
2019-01-02 05:00,2019-01-02 06:00,2.946,2.946,0
2019-01-02 06:00,2019-01-02 07:00,3.098,3.098,0
2019-01-02 07:00,2019-01-02 08:00,3.206,3.206,0
2019-01-02 08:00,2019-01-02 09:00,3.248,3.248,0
2019-01-02 09:00,2019-01-02 10:00,3.212,3.212,0
2019-01-02 10:00,2019-01-02 11:00,3.124,3.124,0
2019-01-02 11:00,2019-01-02 12:00,3.038,3.038,0
2019-01-02 12:00,2019-01-02 13:00,2.949,2.949,0
2019-01-02 13:00,2019-01-02 14:00,2.851,2.851,0
2019-01-02 14:00,2019-01-02 15:00,2.786,2.786,0
2019-01-02 15:00,2019-01-02 16:00,2.802,2.802,0
2019-01-02 16:00,2019-01-02 17:00,2.962,2.962,0
2019-01-02 17:00,2019-01-02 18:00,3.240,3.240,0
2019-01-02 18:00,2019-01-02 19:00,3.314,3.314,0
2019-01-02 19:00,2019-01-02 20:00,3.168,3.168,0
2019-01-02 20:00,2019-01-02 21:00,3.072,3.072,0
2019-01-02 21:00,2019-01-02 22:00,3.142,3.142,0
2019-01-02 22:00,2019-01-02 23:00,3.222,3.222,0
2019-01-02 23:00,2019-01-03 00:00,3.236,3.236,0
2019-01-03 00:00,2019-01-03 01:00,3.341,3.341,0
2019-01-03 01:00,2019-01-03 02:00,3.415,3.415,0
2019-01-03 02:00,2019-01-03 03:00,3.448,3.448,0
2019-01-03 03:00,2019-01-03 04:00,3.451,3.451,0
2019-01-03 04:00,2019-01-03 05:00,3.473,3.473,0
2019-01-03 05:00,2019-01-03 06:00,3.563,3.563,0
2019-01-03 06:00,2019-01-03 07:00,3.731,3.731,0
2019-01-03 07:00,2019-01-03 08:00,3.843,3.843,0
2019-01-03 08:00,2019-01-03 09:00,3.875,3.875,0
2019-01-03 09:00,2019-01-03 10:00,3.814,3.814,0
2019-01-03 10:00,2019-01-03 11:00,3.690,3.690,0
2019-01-03 11:00,2019-01-03 12:00,3.569,3.569,0
2019-01-03 12:00,2019-01-03 13:00,3.446,3.446,0
2019-01-03 13:00,2019-01-03 14:00,3.312,3.312,0
2019-01-03 14:00,2019-01-03 15:00,3.218,3.218,0
2019-01-03 15:00,2019-01-03 16:00,3.217,3.217,0
2019-01-03 16:00,2019-01-03 17:00,3.380,3.380,0
2019-01-03 17:00,2019-01-03 18:00,3.673,3.673,0
2019-01-03 18:00,2019-01-03 19:00,3.733,3.733,0
2019-01-03 19:00,2019-01-03 20:00,3.545,3.545,0
2019-01-03 20:00,2019-01-03 21:00,3.414,3.414,0
2019-01-03 21:00,2019-01-03 22:00,3.468,3.468,0
2019-01-03 22:00,2019-01-03 23:00,3.532,3.532,0
2019-01-03 23:00,2019-01-04 00:00,3.522,3.522,0
2019-01-04 00:00,2019-01-04 01:00,3.610,3.610,0
2019-01-04 01:00,2019-01-04 02:00,3.663,3.663,0
2019-01-04 02:00,2019-01-04 03:00,3.670,3.670,0
2019-01-04 03:00,2019-01-04 04:00,3.646,3.646,0
2019-01-04 04:00,2019-01-04 05:00,3.640,3.640,0
2019-01-04 05:00,2019-01-04 06:00,3.706,3.706,0
2019-01-04 06:00,2019-01-04 07:00,3.850,3.850,0
2019-01-04 07:00,2019-01-04 08:00,3.934,3.934,0
2019-01-04 08:00,2019-01-04 09:00,3.934,3.934,0
2019-01-04 09:00,2019-01-04 10:00,3.840,3.840,0
2019-01-04 10:00,2019-01-04 11:00,3.685,3.685,0
2019-01-04 11:00,2019-01-04 12:00,3.534,3.534,0
2019-01-04 12:00,2019-01-04 13:00,3.383,3.383,0
2019-01-04 13:00,2019-01-04 14:00,3.224,3.224,0
2019-01-04 14:00,2019-01-04 15:00,3.105,3.105,0
2019-01-04 15:00,2019-01-04 16:00,3.077,3.077,0
2019-01-04 16:00,2019-01-04 17:00,3.204,3.204,0
2019-01-04 17:00,2019-01-04 18:00,3.452,3.452,0
2019-01-04 18:00,2019-01-04 19:00,3.478,3.478,0
2019-01-04 19:00,2019-01-04 20:00,3.276,3.276,0
2019-01-04 20:00,2019-01-04 21:00,3.129,3.129,0
2019-01-04 21:00,2019-01-04 22:00,3.154,3.154,0
2019-01-04 22:00,2019-01-04 23:00,3.187,3.187,0
2019-01-04 23:00,2019-01-05 00:00,3.156,3.156,0
2019-01-05 00:00,2019-01-05 01:00,3.212,3.212,0
2019-01-05 01:00,2019-01-05 02:00,3.239,3.239,0
2019-01-05 02:00,2019-01-05 03:00,3.227,3.227,0
2019-01-05 03:00,2019-01-05 04:00,3.190,3.190,0
2019-01-05 04:00,2019-01-05 05:00,3.171,3.171,0
2019-01-05 05:00,2019-01-05 06:00,3.217,3.217,0
2019-01-05 06:00,2019-01-05 07:00,3.333,3.333,0
2019-01-05 07:00,2019-01-05 08:00,3.399,3.399,0
2019-01-05 08:00,2019-01-05 09:00,3.396,3.396,0
2019-01-05 09:00,2019-01-05 10:00,3.316,3.316,0
2019-01-05 10:00,2019-01-05 11:00,3.186,3.186,0
2019-01-05 11:00,2019-01-05 12:00,3.063,3.063,0
2019-01-05 12:00,2019-01-05 13:00,2.944,2.944,0
2019-01-05 13:00,2019-01-05 14:00,2.819,2.819,0
2019-01-05 14:00,2019-01-05 15:00,2.733,2.733,0
2019-01-05 15:00,2019-01-05 16:00,2.728,2.728,0
2019-01-05 16:00,2019-01-05 17:00,2.866,2.866,0
2019-01-05 17:00,2019-01-05 18:00,3.117,3.117,0
2019-01-05 18:00,2019-01-05 19:00,3.172,3.172,0
2019-01-05 19:00,2019-01-05 20:00,3.020,3.020,0
2019-01-05 20:00,2019-01-05 21:00,2.918,2.918,0
2019-01-05 21:00,2019-01-05 22:00,2.976,2.976,0
2019-01-05 22:00,2019-01-05 23:00,3.044,3.044,0
2019-01-05 23:00,2019-01-06 00:00,3.051,3.051,0
2019-01-06 00:00,2019-01-06 01:00,3.145,3.145,0
2019-01-06 01:00,2019-01-06 02:00,3.210,3.210,0
2019-01-06 02:00,2019-01-06 03:00,3.238,3.238,0
2019-01-06 03:00,2019-01-06 04:00,3.239,3.239,0
2019-01-06 04:00,2019-01-06 05:00,3.257,3.257,0
2019-01-06 05:00,2019-01-06 06:00,3.340,3.340,0
2019-01-06 06:00,2019-01-06 07:00,3.496,3.496,0
2019-01-06 07:00,2019-01-06 08:00,3.600,3.600,0
2019-01-06 08:00,2019-01-06 09:00,3.628,3.628,0
2019-01-06 09:00,2019-01-06 10:00,3.569,3.569,0
2019-01-06 10:00,2019-01-06 11:00,3.452,3.452,0
2019-01-06 11:00,2019-01-06 12:00,3.336,3.336,0
2019-01-06 12:00,2019-01-06 13:00,3.218,3.218,0
2019-01-06 13:00,2019-01-06 14:00,3.089,3.089,0
2019-01-06 14:00,2019-01-06 15:00,2.997,2.997,0
2019-01-06 15:00,2019-01-06 16:00,2.991,2.991,0
2019-01-06 16:00,2019-01-06 17:00,3.137,3.137,0
2019-01-06 17:00,2019-01-06 18:00,3.403,3.403,0
2019-01-06 18:00,2019-01-06 19:00,3.451,3.451,0
2019-01-06 19:00,2019-01-06 20:00,3.270,3.270,0
2019-01-06 20:00,2019-01-06 21:00,3.143,3.143,0
2019-01-06 21:00,2019-01-06 22:00,3.186,3.186,0
2019-01-06 22:00,2019-01-06 23:00,3.237,3.237,0
2019-01-06 23:00,2019-01-07 00:00,3.222,3.222,0
2019-01-07 00:00,2019-01-07 01:00,3.295,3.295,0
